iter	Logloss
0	0.6379885788
1	0.5909489565
2	0.548666475
3	0.5168853777
4	0.4862372677
5	0.4618281377
6	0.4386748289
7	0.4203502359
8	0.403455126
9	0.3882997687
10	0.3750596077
11	0.363556232
12	0.3522562398
13	0.3425272213
14	0.3354831649
15	0.3284692759
16	0.3224274402
17	0.3170769324
18	0.3127593646
19	0.3085427481
20	0.3035669294
21	0.2991577366
22	0.2968834292
23	0.2937849658
24	0.2909015779
25	0.2891780405
26	0.2872132392
27	0.2857402295
28	0.2838833044
29	0.2821585977
30	0.280506057
31	0.2787626897
32	0.2779416996
33	0.2771826498
34	0.2762542275
35	0.2752147626
36	0.2742918204
37	0.2735052476
38	0.2726561061
39	0.2720696953
40	0.2714857843
41	0.2710478943
42	0.2706583606
43	0.2701133639
44	0.2697164592
45	0.2693100379
46	0.268939231
47	0.2686441527
48	0.2681873048
49	0.2675220332
50	0.2670758367
51	0.2669175555
52	0.2664984329
53	0.2663761208
54	0.2661706247
55	0.266006745
56	0.2656150783
57	0.265418579
58	0.2652830545
59	0.2650674509
60	0.2649824387
61	0.2647126428
62	0.2643920692
63	0.264334353
64	0.2642211218
65	0.2641355796
66	0.264052003
67	0.263955708
68	0.2638273342
69	0.2637431836
70	0.2636444022
71	0.2635410109
72	0.263261966
73	0.2631442146
74	0.263108184
75	0.2630169586
76	0.2627755337
77	0.2626440906
78	0.2625164357
79	0.2624126933
80	0.2623311844
81	0.2622426385
82	0.2621364974
83	0.2620682939
84	0.2619953552
85	0.2619441643
86	0.2618746411
87	0.2618126257
88	0.261703198
89	0.2616407479
90	0.2614771932
91	0.2614177821
92	0.2613421302
93	0.2612855864
94	0.2612322376
95	0.2611821599
96	0.2611156226
97	0.2610697108
98	0.2610235884
99	0.2609184937
100	0.2608794474
101	0.260827387
102	0.2607646538
103	0.2606448755
104	0.2605755552
105	0.2604965279
106	0.2604127319
107	0.2602814004
108	0.2602361396
109	0.2601848638
110	0.2601416724
111	0.2600870304
112	0.2600229367
113	0.2599727628
114	0.2598972749
115	0.2598479817
116	0.259778358
117	0.2597190623
118	0.2596704144
119	0.2596114583
120	0.2595521696
121	0.2594867259
