iter	Passed	Remaining
0	0	108
1	0	101
2	0	93
3	0	97
4	0	96
5	1	94
6	1	93
7	1	93
8	1	95
9	1	94
10	2	93
11	2	94
12	2	93
13	2	92
14	2	91
15	3	91
16	3	90
17	3	89
18	3	88
19	3	88
20	3	87
21	4	87
22	4	86
23	4	86
24	4	86
25	4	85
26	4	85
27	5	85
28	5	84
29	5	84
30	5	84
31	5	84
32	5	83
33	6	83
34	6	83
35	6	82
36	6	82
37	6	82
38	6	81
39	7	81
40	7	81
41	7	81
42	7	80
43	7	80
44	7	80
45	8	80
46	8	80
47	8	80
48	8	80
49	8	79
50	9	79
51	9	79
52	9	79
53	9	78
54	9	78
55	9	78
56	10	78
57	10	78
58	10	78
59	10	77
60	10	77
61	10	77
62	11	76
63	11	76
64	11	76
65	11	76
66	11	76
67	11	76
68	12	75
69	12	75
70	12	75
71	12	75
72	12	75
73	13	75
74	13	74
75	13	74
76	13	74
77	13	74
78	13	74
79	14	73
80	14	73
81	14	73
82	14	73
83	14	72
84	14	72
85	15	72
86	15	72
87	15	72
88	15	71
89	15	71
90	15	71
91	16	71
92	16	71
93	16	71
94	16	71
95	16	71
96	17	71
97	17	70
98	17	70
99	17	70
100	17	70
101	17	69
102	18	69
103	18	69
104	18	69
105	18	68
106	18	68
107	18	68
108	19	68
109	19	67
110	19	67
111	19	67
112	19	67
113	19	67
114	19	66
115	20	66
116	20	66
117	20	66
118	20	65
119	20	65
120	20	65
121	21	65
122	21	65
123	21	64
124	21	64
125	21	64
126	21	64
127	21	63
128	22	63
129	22	63
130	22	63
131	22	63
132	22	62
133	22	62
134	23	62
135	23	62
136	23	62
137	23	61
138	23	61
139	23	61
140	24	61
141	24	60
142	24	60
143	24	60
144	24	60
145	24	60
146	24	59
147	25	59
148	25	59
149	25	59
150	25	59
151	25	58
152	25	58
153	26	58
154	26	58
155	26	58
156	26	58
157	26	58
158	27	57
159	27	57
160	27	57
161	27	57
162	27	57
163	27	56
164	27	56
165	28	56
166	28	56
167	28	56
168	28	56
169	28	56
170	29	55
171	29	55
172	29	55
173	29	55
174	29	55
175	29	54
176	30	54
177	30	54
178	30	54
179	30	54
180	30	54
181	30	53
182	30	53
183	31	53
184	31	53
185	31	53
186	31	52
187	31	52
188	31	52
189	32	52
190	32	52
191	32	51
192	32	51
193	32	51
194	32	51
195	32	51
196	33	50
197	33	50
198	33	50
199	33	50
200	33	50
201	33	49
202	33	49
203	34	49
204	34	49
205	34	49
206	34	49
207	34	48
208	35	48
209	35	48
210	35	48
211	35	48
212	35	48
213	35	47
214	36	47
215	36	47
216	36	47
217	36	47
218	36	47
219	36	46
220	36	46
221	37	46
222	37	46
223	37	46
224	37	45
225	37	45
226	37	45
227	38	45
228	38	45
229	38	45
230	38	44
231	38	44
232	38	44
233	39	44
234	39	44
235	39	44
236	39	43
237	39	43
238	39	43
239	40	43
240	40	43
241	40	43
242	40	42
243	40	42
244	40	42
245	41	42
246	41	42
247	41	42
248	41	41
249	41	41
250	41	41
251	41	41
252	42	41
253	42	40
254	42	40
255	42	40
256	42	40
257	42	40
258	43	40
259	43	39
260	43	39
261	43	39
262	43	39
263	43	39
264	44	39
265	44	38
266	44	38
267	44	38
268	44	38
269	44	38
270	45	38
271	45	37
272	45	37
273	45	37
274	45	37
275	45	37
276	45	37
277	46	36
278	46	36
279	46	36
280	46	36
281	46	36
282	46	35
283	47	35
284	47	35
285	47	35
286	47	35
287	47	35
288	47	34
289	48	34
290	48	34
291	48	34
292	48	34
293	48	34
294	48	33
295	48	33
296	49	33
297	49	33
298	49	33
299	49	33
300	49	32
301	49	32
302	50	32
303	50	32
304	50	32
305	50	32
306	50	31
307	51	31
308	51	31
309	51	31
310	51	31
311	51	31
312	51	30
313	52	30
314	52	30
315	52	30
316	52	30
317	52	30
318	52	29
319	52	29
320	53	29
321	53	29
322	53	29
323	53	29
324	53	28
325	53	28
326	54	28
327	54	28
328	54	28
329	54	28
330	54	27
331	54	27
332	55	27
333	55	27
334	55	27
335	55	27
336	55	26
337	55	26
338	56	26
339	56	26
340	56	26
341	56	26
342	56	25
343	56	25
344	57	25
345	57	25
346	57	25
347	57	25
348	57	25
349	58	24
350	58	24
351	58	24
352	58	24
353	58	24
354	58	24
355	58	23
356	59	23
357	59	23
358	59	23
359	59	23
360	59	23
361	59	22
362	60	22
363	60	22
364	60	22
365	60	22
366	60	22
367	60	21
368	61	21
369	61	21
370	61	21
371	61	21
372	61	20
373	61	20
374	61	20
375	62	20
376	62	20
377	62	20
378	62	19
379	62	19
380	62	19
381	63	19
382	63	19
383	63	19
384	63	18
385	63	18
386	63	18
387	63	18
388	64	18
389	64	18
390	64	17
391	64	17
392	64	17
393	64	17
394	65	17
395	65	17
396	65	16
397	65	16
398	65	16
399	65	16
400	65	16
401	66	16
402	66	15
403	66	15
404	66	15
405	66	15
406	66	15
407	67	15
408	67	14
409	67	14
410	67	14
411	67	14
412	67	14
413	68	14
414	68	13
415	68	13
416	68	13
417	68	13
418	68	13
419	68	13
420	69	12
421	69	12
422	69	12
423	69	12
424	69	12
425	69	12
426	70	11
427	70	11
428	70	11
429	70	11
430	70	11
431	70	11
432	71	11
433	71	10
434	71	10
435	71	10
436	71	10
437	71	10
438	72	10
439	72	9
440	72	9
441	72	9
442	72	9
443	72	9
444	72	9
445	73	8
446	73	8
447	73	8
448	73	8
449	73	8
450	73	8
451	74	7
452	74	7
453	74	7
454	74	7
455	74	7
456	74	7
457	74	6
458	75	6
459	75	6
460	75	6
461	75	6
462	75	6
463	75	5
464	76	5
465	76	5
466	76	5
467	76	5
468	76	5
469	76	4
470	76	4
471	77	4
472	77	4
473	77	4
474	77	4
475	77	3
476	77	3
477	78	3
478	78	3
479	78	3
480	78	3
481	78	2
482	78	2
483	78	2
484	79	2
485	79	2
486	79	2
487	79	1
488	79	1
489	80	1
490	80	1
491	80	1
492	80	1
493	80	0
494	80	0
495	81	0
496	81	0
497	81	0
498	81	0
499	81	0
